종목코드,종목명,종가,대비,등락률,상장시가총액
"103140","풍산","30700","-100","-0.32","860345.0"
"016380","KG스틸","8480","-100","-1.17","848075.0"
"000070","삼양홀딩스","67100","200","0.30","574663.0"
"001680","대상","21050","-250","-1.17","729341.0"
"004490","세방전지","46700","-1050","-2.20","653800.0"
"005440","현대그린푸드","6710","-70","-1.03","655597.0"
"020000","한섬","26100","-500","-1.88","642843.0"
"381970","케이카","12450","-750","-5.68","598677.0"
"105630","한세실업","15450","-50","-0.32","618000.0"
"192820","코스맥스","63500","-1200","-1.85","720694.0"
"284740","쿠쿠홈시스","32050","-450","-1.38","719116.0"
"294870","HDC현대산업개발","10550","-350","-3.21","695322.0"
"057050","현대홈쇼핑","53000","-100","-0.19","636000.0"
"241590","화승엔터프라이즈","9210","-150","-1.60","558027.0"
"013890","지누스","33150","-450","-1.34","571255.0"
